#Returns a data frame with the initial values (I), rate estimates (P)
#Log likelihoods (L) and standard error of the rate (S)

#Total time to run about 3 minutes (w/ 50 points)

$spg
             I        P         L         S
V2   0.2138776 227.1670 -8.317766       NaN
V3   0.4177551 222.8393 -8.317766       NaN
V4   0.6216327 230.2799 -8.317766  69389.72
V5   0.8255102 225.4958 -8.317766  69071.32
V6   1.0293878 229.9095 -8.317766       NaN
V7   1.2332653 229.7227 -8.317766  62521.88
V8   1.4371429 231.0574 -8.317766       NaN
V9   1.6410204 228.4063 -8.317766       NaN
V10  1.8448980 229.4827 -8.317766       NaN
V11  2.0487755 225.0010 -8.317766  47941.16
V12  2.2526531 229.1191 -8.317766  50473.93
V13  2.4565306 223.8392 -8.317766  55982.18
V14  2.6604082 223.1966 -8.317766  62410.28
V15  2.8642857 229.1160 -8.317766  46614.49
V16  3.0681633 228.6141 -8.317766  65778.41
V17  3.2720408 229.2720 -8.317766  41969.26
V18  3.4759184 229.8487 -8.317766       NaN
V19  3.6797959 227.0637 -8.317766  53874.41
V20  3.8836735 225.0497 -8.317766       NaN
V21  4.0875510 228.7030 -8.317766 115689.88
V22  4.2914286 226.8383 -8.317766       NaN
V23  4.4953061 225.6204 -8.317766  63982.95
V24  4.6991837 225.0335 -8.317766  62067.78
V25  4.9030612 224.9859 -8.317766  58949.93
V26  5.1069388 224.6538 -8.317766 125635.49
V27  5.3108163 223.6274 -8.317766  64343.62
V28  5.5146939 224.9867 -8.317766 217929.56
V29  5.7185714 223.4218 -8.317766  46493.13
V30  5.9224490 227.1848 -8.317766  79475.85
V31  6.1263265 224.5954 -8.317766  34397.76
V32  6.3302041 223.1263 -8.317766  45065.70
V33  6.5340816 230.7442 -8.317766       NaN
V34  6.7379592 230.4750 -8.317766  64445.47
V35  6.9418367 230.1524 -8.317766  63479.65
V36  7.1457143 229.8581 -8.317766  82218.27
V37  7.3495918 229.7838 -8.317766  45752.00
V38  7.5534694 229.6300 -8.317766       NaN
V39  7.7573469 229.6616 -8.317766  58087.39
V40  7.9612245 230.0573 -8.317766  40460.87
V41  8.1651020 230.5611 -8.317766  55832.28
V42  8.3689796 230.5835 -8.317766  70629.73
V43  8.5728571 230.5899 -8.317766  88753.08
V44  8.7767347 231.2373 -8.317766 274323.41
V45  8.9806122 222.7265 -8.317766  71913.42
V46  9.1844898 223.1052 -8.317766  36881.71
V47  9.3883673 223.4896 -8.317766  45139.08
V48  9.5922449 223.8011 -8.317766  49733.00
V49  9.7961224 224.0669 -8.317766  82032.86
V50 10.0000000 224.4120 -8.317766  67621.56
